summary,actions,datatypes
"The mobile app allows users to conveniently monitor and receive notifications about the battery levels of their HomeKit devices all in one place, with features such as battery status, notifications, widgets, shortcuts, and customizable settings.",The user views each accessory's battery level as a percentage with a color-coded glyph.,"['accessory type', 'battery level', 'color-coded glyph']"
"The mobile app allows users to conveniently monitor and receive notifications about the battery levels of their HomeKit devices all in one place, with features such as battery status, notifications, widgets, shortcuts, and customizable settings.",The user gets notified when accessories are running out of battery with support for notifications.,"['accessories', 'battery status', 'notification preferences']"
"The mobile app allows users to conveniently monitor and receive notifications about the battery levels of their HomeKit devices all in one place, with features such as battery status, notifications, widgets, shortcuts, and customizable settings.","The user gets accessory battery levels, battery types, and sees which accessories are running low on charge with Siri Shortcuts.","['accessory battery levels', 'battery types', 'accessories running low on charge']"
"The mobile app allows users to conveniently monitor and receive notifications about the battery levels of their HomeKit devices all in one place, with features such as battery status, notifications, widgets, shortcuts, and customizable settings.",The user sets the battery type for each accessory from a preset list of options or chooses their own.,['battery type']
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user downloads the Rimi app to make shopping easier.,{'Personal data': []}
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user browses tasty recipes on the app.,"['food preferences', 'cooking skills', 'dietary restrictions']"
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user creates and shares shopping lists using the app.,"['shopping preferences', 'product preferences', 'budget constraints']"
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user checks their personal offers on the app.,"['personal offers', 'purchase history', 'location data']"
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user activates personalized offers on the app.,"['purchase history', 'location', 'preferences', 'age group']"
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user activates coupons on the app.,"['coupon preferences', 'shopping habits', 'location']"
"The mobile app offers a convenient shopping experience with features like browsing recipes, creating and sharing shopping lists, checking personal offers and coupons, and scanning a QR code instead of using a loyalty card at checkout.",The user discovers tasty recipes on the app.,"['food preferences', 'dietary restrictions', 'cooking skills']"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user downloads the PWN-Oxford Dictionary application.,"[""user's preference for PWN-Oxford Dictionary application""]"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user explores specialist terms from over 100 fields and vocabulary with various stylistic and emotional registers.,"['interests', 'field of study', 'vocabulary preferences', 'emotional preferences']"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user listens to British and American pronunciation of entries.,"{'Personal data': ['language preferences', 'listening history']}"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user searches for and highlights desired words within an entry.,"['search queries', 'highlighted words']"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user views the Idiom of the Day feature and receives everyday notifications.,"['idioms', 'language preferences', 'notification settings']"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user adjusts the font size according to their preference.,"['font size', 'user preference']"
"The mobile app offers a comprehensive English-Polish/Polish-English dictionary with 1 million meanings, expressions, and idioms, specialist terms, pronunciation recordings, daily idiom feature, and offline access, providing language support for work, study, and travel.",The user changes the program interface language to Polish or English.,"['interface language', 'preferred languages']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.",The user buys products from Leroy Merlin through the app and chooses to pick them up in-store or receive them at home.,"['products purchased', 'pickup location', 'home address']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.","The user tracks the status of their orders, including shipping details, invoices, and receipts.","['order details', 'shipping information', 'invoices', 'receipts']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.","The user enables location services to check store hours, directions, merchandise pickup information, services, promotions, and benefits.","['location data', 'store preferences', 'service preferences', 'promotions', 'benefits']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.","The user scans products using the provided barcode to access information, customer reviews, and store stock availability.","['product information', 'customer reviews', 'store stock availability']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.","The user benefits from the advantages of the Cartão da Casa, accessing points, discount vouchers, order history, and accumulating points both online and in-store.","['purchase history', 'loyalty points', 'discount vouchers', 'online activity', 'in-store activity']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.",The user organizes DIY projects and home renovations by saving products to their favorites list for later reference.,"['DIY projects', 'home renovations', 'products', 'favorites list']"
"The mobile app provides a convenient and simple experience for purchasing a wide range of products for home improvement, decoration, and gardening from Leroy Merlin, allowing for quick in-store pickups or home deliveries, order tracking, store information, and loyalty rewards.",The user contacts Leroy Merlin customer support to get assistance and answers to their inquiries.,"['name', 'contact information', 'inquiries', 'purchase history']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user switches faces with a friend or a photo in real-time.,"['facial features', 'facial expressions', 'images/photos', 'facial recognition data']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.","The user records videos or photos of themselves swapping faces with a celebrity, friend, or any fun picture.","['videos', 'photos', 'faces', 'celebrities', 'friends']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user sees their talking face on Marilyn Monroe's photo.,"['face image', ""Marilyn Monroe's photo"", ""user's photo""]"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user puts their moving mouth onto a picture of their favorite pet.,"['pictures', 'favorite pet', 'facial features']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user uses Augmented Reality (AR & ARKit) face masks and live face swaps for endless fun.,"['facial features', 'facial expressions', 'movement patterns']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user interacts with the Face Goo Studio for interactive face warping.,"['photos', 'facial features', 'facial expressions', 'interaction data']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user plays with built-in masks and effects from a library of over 25 options.,"['photos', 'videos', 'facial features']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user searches the internet for face masks and saves favorites in their own library.,"['search queries', 'saved face masks', 'shopping preferences']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user finger paints to distort their face in wacky ways using Face Goo Studio.,"['finger paintings', 'facial features', 'artistic preferences']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.","The user mixes and matches hats, mustaches, beards, and sunglasses in Party Mode.","['photos', 'hat preferences', 'facial hair preferences', 'sunglasses preferences']"
"The mobile app allows you to swap faces with friends or photos in real-time, featuring a variety of built-in masks, face warping, and AR face swaps for endless fun.",The user edits face masks to get the perfect fit and creates masks from any photo.,"['face masks', 'photos', 'face shape', 'personal style preferences']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.",The user connects with friends and shares moments in their life through photos and videos in their Story.,"['photos', 'videos', 'shared moments', 'Story updates']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.",The user sends messages to friends through the Messenger.,"['messages', 'friends list', 'message content']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.","The user creates and discovers short, entertaining videos with Reels on Instagram.","['short videos', 'entertaining content', 'discover preferences']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.",The user posts photos and videos on their feed to be displayed on their profile.,"['photos', 'videos', 'user profile', 'privacy settings']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.",The user watches videos and Reels from their favorite creators and discovers new content on Instagram.,"['videos', 'Reels', 'favorite creators', 'discovered content']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.",The user explores photos and videos from new accounts in the 'Explore' tab.,"['photos', 'videos', 'account information', 'interests']"
"The mobile app allows users to connect with friends, share everyday moments and highlights, create and discover short videos, explore content tailored to their interests, and interact with brands and small businesses.","The user discovers brands and small businesses, and purchases products that reflect their style.","['purchase history', 'brand preferences', 'style preferences']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user manages their mobile and fixed line services through the My Vodafone application.,"['mobile phone number', 'fixed line number', 'usage data', 'billing information']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.","The user controls their usage of voice, internet, and SMS on their mobile.","['voice usage data', 'internet usage data', 'SMS usage data']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.","The user activates extra bundles for voice, internet, and SMS on their mobile.","{'Personal data': ['mobile number', 'voice usage data', 'internet usage data', 'SMS usage data']}"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user views and pays their bill using various payment methods for mobile and fixed services.,"['billing information', 'payment methods', 'usage details']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user reports network issues with the Vodafone Network Guarantee.,"['location', 'network provider', 'device information']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.","The user tops up their prepaid balance and activates bundles for voice, SMS, and data.","['prepaid balance', 'voice bundle preferences', 'SMS bundle preferences', 'data bundle preferences']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user discovers personalized offers for prepaid services.,"['purchase history', 'location', 'payment preferences', 'communication preferences']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user views their monthly bill and downloads its PDF for prepaid services.,"['billing information', 'PDF downloads', 'prepaid services']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user accesses live chat with the Customer Care team through My Vodafone.,"['chat messages', 'customer support inquiries', 'account information']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user searches for the nearest Vodafone shop using an interactive map in My Vodafone.,"['location', 'search query', 'device type']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user accesses FAQs for mobile and fixed-related issues through My Vodafone.,"['mobile-related issues', 'fixed-related issues', 'customer account information']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.","The user can create their own user account to track Aki Awards, unlocked accessories, and Genizs' balance.","['user account information', 'Aki Awards progress', 'unlocked accessories', 'Genizs balance']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.","The user can challenge Akinator on themes like movies, animals, and objects.","['challenges', 'themes', 'movie preferences', 'animal interests', 'object preferences']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can think of forgotten characters to win Aki Awards.,"['forgotten characters', 'Aki Awards']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can participate in the Daily Challenge to find mysterious characters and earn Aki Awards.,"['location data', 'user profile', 'activity history', 'Aki Awards earned']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can unlock and play with new backgrounds using Geniz.,['chosen backgrounds']
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can customize their genie with different hats and clothes.,"['clothing preferences', 'hat preferences']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can switch between 16 languages.,['language preferences']
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can view their Aki Awards collection on the Aki Awards Board.,['Aki Awards collection']
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.","The user can aim for Last Super Awards for Black, Platinum, and Gold Aki Awards.","['user achievements', 'awards', 'preferences']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.",The user can add magic by proposing a photo or questions.,"['photos', 'questions']"
"The mobile app can read your mind to guess the character you're thinking of by asking questions, with the option to create a user account to track achievements, challenge the genie on various themes, win Aki Awards, compete with other players, and customize the genie's appearance.","The user can follow the genie on social media platforms like Facebook, Twitter, and Instagram.","['social media platforms followed', 'user preferences']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.","The user captures the essence of their photos in brilliant, liquid color using Waterlogue.","['photos', 'artistic preferences', 'color choices']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",Waterlogue transforms the user's photos into luminous watercolors.,['photos']
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user watches Waterlogue paint as it transforms their images.,['images']
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user creates an artist's journal or notebook using their watercolors.,"['artistic creations', 'medium preference', 'artistic interests']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.","The user saves their watercolors and shares them on Instagram, Twitter, Facebook, and Tumblr.","['watercolors', 'social media profiles', 'sharing preferences']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.","The user creates beautiful, high res, frameable art for their home.","['art preferences', 'decor style', 'color preferences']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.","The user customizes their watercolors by controlling wetness, pen outlines, and color using the 14 pre-set styles.","['artistic preferences', 'color choices', 'preferred painting styles', 'settings adjustments']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user exports images at high resolution.,"['images', 'resolution preferences']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.","The user controls borders, lightness, and detail of the watercolors.","{'personal_data': ['artistic preferences', 'creative choices']}"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user includes example images in their watercolor creations.,"['images', 'artistic preferences', 'color choices']"
"The mobile app transforms your photos into luminous watercolors, allowing you to create beautiful art for your home and share on social media, with customizable styles and high-resolution export options, supported on iOS devices.",The user follows @Tinrocket on Instagram and Twitter for the latest updates.,"['social media handles', 'interest in updates']"
"The mobile app is a utility that enhances music player controls, allowing users to customize and access additional controls directly from the lock screen.",The user customizes which controls show up and the appearance for their controls in the ControlBar app.,"['control preferences', 'appearance preferences']"
"The mobile app is a utility that enhances music player controls, allowing users to customize and access additional controls directly from the lock screen.",The app enables users to customize which controls show up and the appearance for their controls in the ControlBar app.,"['user settings', 'customized controls', 'ControlBar app preferences']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The user quickly finds fruits and vegetables that are currently in season.,"['location', 'season', 'food preferences']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The user can obtain detailed information on each fruit or vegetable.,"['fruit preferences', 'vegetable preferences']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The user filters by month to discover the availability of fruits and vegetables.,"['location', 'search filters', 'dietary preferences']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The user identifies a fruit or vegetable using the camera of their iPhone or iPad.,"['images', 'fruit or vegetable identification', 'device type']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.","The user navigates to the identification tab, displays the fruit or vegetable to the camera, and presses the 'Identify' button to see the result.","['images of fruits or vegetables', 'camera data']"
"The mobile app De Saison helps users quickly find fruits and vegetables that are currently in season, providing detailed information and features like seasonal produce lists, an annual calendar, and instant identification using the device's camera.",The app is written entirely in Swift and SwiftUI.,['none']
"The mobile app offers over 900 fun and stylish photo effects, including montages, filters, frames, and caricature effects, with a neat interface for easy creation and sharing of unique photo montages and collages without ads or watermarks.",The user chooses a photo from Camera Roll or takes a new photo with the phone camera.,"['photos', 'location data', 'device information']"
"The mobile app offers over 900 fun and stylish photo effects, including montages, filters, frames, and caricature effects, with a neat interface for easy creation and sharing of unique photo montages and collages without ads or watermarks.",The app generates a unique photo montage or collage based on the selected effect and photo.,"['photos', 'selected effects']"
"The mobile app offers over 900 fun and stylish photo effects, including montages, filters, frames, and caricature effects, with a neat interface for easy creation and sharing of unique photo montages and collages without ads or watermarks.","The user shares the edited photo easily to Twitter, Facebook, Instagram, or sends it as a message to friends.","['photos', 'social media accounts', 'friends list']"
"The mobile app offers over 900 fun and stylish photo effects, including montages, filters, frames, and caricature effects, with a neat interface for easy creation and sharing of unique photo montages and collages without ads or watermarks.",The user can add their own text onto the picture for most effects.,"['text content', 'pictures', 'preferred effects', 'creative preferences']"
"The mobile app offers over 900 fun and stylish photo effects, including montages, filters, frames, and caricature effects, with a neat interface for easy creation and sharing of unique photo montages and collages without ads or watermarks.","The user can suggest new ideas for photo effects, filters, frames, and collages to the app.","['photo effects', 'filters', 'frames', 'collages']"
The mobile app helps users easily block unwanted calls for both professional and private use.,The user finds the app indispensable.,{'Personal data': []}
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can manage their electricity and gas affairs through the MVM Next app.,"['electricity usage', 'gas usage', 'billing information', 'address']"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can dictate meter readings and check their previous meter reading data.,"['meter readings', 'previous meter reading data']"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can make payments for their bills instantly using a bank card.,"['payment information', 'bank card details', 'billing information']"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can view and download bills for multiple usage points.,"['bills', 'usage points']"
