summary,actions,datatypes
"The mobile app provides visualized METAR and TAF weather information for all airports worldwide, with features such as easy-to-understand metrics, weather symbols, crosswind calculations, flight rule categories, voice synthesis reading, sunrise/sunset times, and customizable units, offering a comprehensive tool for aviation weather forecasting.",The app provides weather symbols for significant weather and clouds similar to non-aviation weather reports.,"{'personal_data': ['location', 'weather preferences']}"
"The mobile app allows users to manage their electricity and gas-related matters, such as submitting meter readings, paying bills, viewing multiple account statements, and setting up notifications for bill arrivals and meter reading periods.",The user can add a designated payer to their usage point to pay bills on their behalf.,"[""designated payer's information"", 'billing details']"
"The mobile app is a user-friendly stop-motion animation tool that allows users to easily create professional-looking movies, offering a variety of features such as video filters, soundtracks, green screen effects, and a powerful built-in image editor, with the ability to share projects in high quality and continue editing seamlessly across devices.",The Washington Post mentions how easy it is to create stop-motion movies with Stop Motion Studio.,{'Personal data': []}
"The mobile app offers over 70 million official songs, live performances, personalized playlists, and music discovery features, allowing users to enjoy a tailored music experience for various activities and moods, along with the option to upgrade to Music Premium for an ad-free experience and additional benefits.","The user explores the latest music trends, including new releases, music by genre (e.g., Hip-Hop, Pop, Rock), and music by mood.","['music preferences', 'genre preferences', 'mood preferences']"
"The mobile app from a bio-medical testing laboratory offers secure access to test results, history, preparation information, graphical displays for certain tests, center locations, news updates, and the ability to rate and provide feedback on your experience.",The user views the results of their last test and receives a notification when available.,"['test results', 'notifications']"
"The mobile app offers a diagnostic method called the Matrix of Destiny 22 Energies, based on the date of birth, which helps reveal different life plans, keys to healing fate, talents, potential, and purpose, ultimately guiding users towards becoming a harmonious and holistic personality by understanding and mastering the 22 energies of the Major Arcana of the tarot.","Using the method, a person can find answers to various questions in their life such as money, health, relationships, and talent.","['financial information', 'health information', 'relationship status', 'talents']"
"The mobile app offers convenient access to check usage, manage Wi-Fi network, pay bills, and oversee services with ease, ensuring users are always up to date on their Telenet account.",The user enables Wi-Fi Sharing to give guests instant network access.,"['Wi-Fi network information', 'device information']"
"The mobile app from a bio-medical testing laboratory offers secure access to test results, history, preparation information, graphical displays for certain tests, center locations, news updates, and the ability to rate and provide feedback on your experience.",The user keeps up to date with Ketterthill laboratory news in the News section.,"['news preferences', 'medical interests']"
"The mobile app offers fast, smart, and anonymous browsing with a redesigned interface, enhanced anonymity features, private browsing mode, and intuitive design, utilizing the Tor anonymization network to prioritize user anonymity and privacy.",The app features a user-friendly interface for comfortable browsing experience.,"['device preferences', 'user interface interactions', 'browsing habits']"
"The mobile app manages tasks on Synology's Download Station, supporting features like task management, task search, and secure login options.",The user saves all user credentials in the Keychain for convenience.,['user credentials']
"The mobile app provides a convenient way to manage incoming and outgoing shipments, check postal hours, create a queue ticket for faster postal service, make online postage payments, track shipments, and receive notifications about shipment status updates.","The user gets an overview of incoming and outgoing shipments, current opening hours, number of people in line, or creates a queue for faster processing at the post office.","['shipment details', 'opening hours', 'queue information', 'location data']"
"The mobile app provides a fully redesigned experience for Vodafone Mobile and Vodafone Home subscribers to easily manage their mobile and fixed line services, including controlling usage, activating bundles, viewing and paying bills, accessing special offers, reporting network issues, and contacting customer service.",The user views their monthly bill and downloads its PDF for prepaid services.,"['billing information', 'PDF downloads', 'prepaid services']"
"The mobile app is Denmark's new platform for digital mail, allowing users to easily receive, read, and respond to important messages from public authorities and private companies, with user-friendly design, push notifications, and upcoming features for signing documents and paying bills directly within the app, accessible for users over 15 years old with a MitID/NemID.",The user receives digital mails from public authorities and private companies.,"{'Personal data': ['email address', 'name', 'contact information', 'government identification numbers', 'financial information']}"
"The mobile app offers up to 75% off on fashion, lifestyle brands with live and upcoming deals, exclusive discounts, and special seasonal sales, available in select European countries.",The user benefits from deals with up to 75% off on the latest trends.,"{'Personal data': ['shopping preferences', 'purchase history', 'discount preferences']}"
