summary,actions,datatypes
"The mobile app allows you to easily cast your phone to various smart TVs like Chromecast, Roku, Fire TV, Xbox, Samsung, and LG TV, enabling you to enjoy your content on a bigger screen with high quality and real-time speed, as well as control smart TV functions and stream music and games.",The user casts their phone screen to TV using the app.,"['phone screen content', 'TV connection']"
"The mobile app offers a convenient shopping experience for a wide range of fashion items, including clothing, shoes, accessories, and sportswear, with a focus on sustainability, personal style inspiration, and up-to-date trends from fashion experts and brands in Europe.",The user follows fashion experts to see how they style their outfits.,"['fashion experts', 'outfit styles', 'fashion preferences']"
"The mobile app is a watch face for Wear OS devices with customizable colors, animations, multilanguage date, and always on display mode.",The user enables the always-on display mode.,['display settings']
"The mobile app is a comprehensive office suite that includes word processing, PDF viewing and editing, spreadsheet capabilities, AI features like content generation and rewriting, as well as cloud storage options and collaborative tools for seamless document management on Android devices.",WPS AI provides AI-generated content like meeting summaries and event planning.,"['meeting summaries', 'event planning', 'work-related data']"
"The mobile app is a powerful offline music player for Android with a built-in equalizer, support for various audio formats, personalized music library features, and a stylish user interface for a premium audio-visual experience.",The user can control music playback using Bluetooth or wired headphones.,"['music preferences', 'listening habits', 'device usage']"
"The mobile app allows users to explore billions of Pins from around the world, save, organize, and share ideas, shop for products, access daily DIY tutorials, find home decor inspiration, discover tattoo ideas, connect with a worldwide creative community, and offers business features for brands to engage with customers.",The user explores billions of Pins from around the world to discover new ideas every day.,"['interests', 'location data', 'search history', 'device information']"
"The mobile app serves as a comprehensive travel companion for booking and managing regional and long-distance transportation, offering digital tickets, real-time information, best price search, and a user-friendly interface.",The user views their favorite connection at a glance with the commuter widget.,"['connection information', 'location data', 'relationship status']"
"The mobile app helps Intratuin Extra members receive special benefits and offers assistance in caring for their indoor and outdoor plants, providing plant care tips, reminders, and access to exclusive discounts and inspiration content.",The user seeks guidance on plant care through the app to ensure plants receive necessary attention.,"['plant types', 'care instructions', 'location of plants', 'frequency of care']"
"The mobile app allows users to connect with communities, teammates, family, and friends through features like communities, events, chats, channels, meetings, storage, tasks, and calendars all in one place, enabling collaboration, sharing of ideas, making plans, and managing access to information securely.","The user meets securely with communities, teammates, family, or friends, and sets up meetings within seconds to collaborate.","['meeting schedules', 'participants', 'collaboration topics', 'locations']"
"The mobile app transforms your smartwatch into a festive winter wonderland with a customizable snow globe, offering 20 color themes, essential timekeeping features, health monitoring tools, and battery level display for a cheerful and functional holiday experience.",The user selects one of the 10 different festive backgrounds.,['festive backgrounds']
"The mobile app allows you to discover ideas, connect with people and communities, shop on Marketplace, watch reels for inspiration, personalize your feed, and share your world creatively.",The user explores and expands their interests by shopping on Marketplace and taking hobbies to the next level.,"['shopping history', 'hobbies', 'interests', 'preferred activities']"
"The mobile app enables easy and secure sign-ins for all online accounts using multi-factor authentication, passwordless login, and password autofill, supporting Microsoft as well as non-Microsoft accounts, and offering additional account management options for personal, work, or school accounts.","The user uses their fingerprint, face ID, or PIN for two-step verification in the authentication process.","['biometric data', 'PIN']"
"The mobile app is a multifunctional security and account management application with features such as Scan QR 2FA, Backup & Sync, Password Manager, Autofill, Unlock with Master Password and Touch ID, Dark Mode, Credit Card Note, Vital Identification, Import and Export Data, and Data Storage on Cloud, ensuring safe protection and efficient management of accounts.",The user unlocks the app using a Master Password or Touch ID to prevent unauthorized access.,"['Master Password', 'Touch ID']"
"The mobile app is a modern watch face with high resolution, optimization, low battery consumption, multilingual support, weather display, changeable colors, and AOD mode, available for Wear OS devices with API Level 30+ and offering promotions and news updates on various platforms.",The app provides a second version of the modern watch face.,['watch face preferences']
"The mobile app Smart Switch allows users to transfer contacts, music, photos, messages, and more from various devices to new Galaxy devices, supporting Android, iOS, and Windows systems with specific requirements outlined for each.","Data that can be transferred includes contacts, calendar, messages, photos, music, videos, call logs, memos, alarms, Wi-Fi, wallpapers, documents, app data, and home layouts.","['contacts', 'calendar', 'messages', 'photos', 'music', 'videos', 'call logs', 'memos', 'alarms', 'Wi-Fi', 'wallpapers', 'documents', 'app data', 'home layouts']"
"The mobile app is a feature-rich GPX viewer and offline maps tool that also serves as a GPS locator, tracks viewer, trip stats analyzer, and navigation tool with customizable options and additional features such as track recording and weather forecast.","The user views online maps such as Google Maps, Mapbox, HERE, Thunderforest, and others.","{'Personal data': ['location', 'search history', 'IP address']}"
"The mobile app offers hundreds of top films and series without ads, the best Slovak programs before TV, attractive live and recorded sports, and exclusive VOYO Originals.",The user experiences live and recorded attractive sports content.,"['sports preferences', 'viewing history', 'device information']"
"The mobile app is a watch face supporting Wear OS devices with API Level 28+, featuring various customizable options and features such as color change, animation, custom widgets, and more, with additional news and promotions available on multiple platforms.",The user customizes the watch face settings and recommendations.,"['watch face settings', 'recommendations']"
"The mobile app offers Sports Betting, Slots, Bonuses, Live Tables, Virtuals, and more, with features like Cash Out, Bet Mentor, and Smart Notifications, while promoting Responsible Gaming practices.",The user shares their bets with friends using the 'Share Your Bet' feature.,"['bet selections', 'bet amounts', 'bet outcomes', 'friend list']"
The mobile app allows fans with tickets to securely manage and transfer them on their mobile devices.,Fans keep their tickets on their mobile device with the app.,"['tickets', 'mobile device']"
"The mobile app offers a digital and modern snowflake watch face with a GYRO effect, customizable colors, app shortcuts, complications, and compatibility with all Wear OS devices API 30+, allowing users to personalize their watch face and stay updated with the latest releases through their social media channels.",The user selects apps to add to the custom app shortcuts on the watch face.,"{'Personal data': ['app preferences', 'watch face settings']}"
"The mobile app allows users to easily find and manage charging points within the InCharge network, providing access to over 85,000 charging points in Europe, information on availability and rates, tracking of charging sessions, and notifications for available charging points.",The user enters their home address and work address to receive notifications about new charging points nearby.,"['home address', 'work address', 'location data']"
"The mobile app allows users to easily create photo books, wall art, prints, photo cards, calendars, and various personalized photo gifts with automatic grouping, smart design assistance, and eco-friendly production.",The user designs and orders phone cases for various smartphone models.,"['phone case designs', 'smartphone models', 'shipping address']"
"The mobile app is a powerful sheet music viewer for Android tablets that allows musicians to access, organize, and annotate their sheet music files with features such as multiple viewing modes, hands-free page turns, audio player integration, metronome, annotations, and more.",The user can play audio tracks along with their sheet music.,"['audio tracks', 'sheet music']"
"The mobile app offers digital planning, note-taking, and PDF editing capabilities with features such as smooth handwriting, customizable pens, digital planners, PDF import, hyperlink creation, stickers functionality, document organization, and Google Drive syncing.",The user uses the handwriting to text feature for automatic conversion.,"['handwriting samples', 'text conversions']"
"The mobile app offers a personalized feed of short-form videos across various categories, provides tools for creating original videos with special effects and music, and allows users to engage with a global community of creators.",The user is entertained and inspired by a global community of creators on TikTok.,"['user preferences', 'liked videos', 'following list', 'engagement data']"
"The mobile app is a customizable watch face for Wear OS devices with API Level 28+ that features 3 preset app shortcuts, 1 customizable shortcut, and 4 customizable complications for displaying various data like weather, steps, barometer, and UV index.",The user explores the customizable complications feature for adding desired data to the watch face.,"['watch face complications', 'desired data']"
"The mobile app offers a BOGO promotion for purchasing watch faces, where users can buy one watch face and email the receipt to receive a coupon for a Snowman-themed watch face with various features for Wear OS.",The user buys a watch face.,"['purchase history', 'payment information', 'shipping address']"
